1.4701148228858807,0.42268006526981705,8.19112911855904	6.934381686856559,2.9790921032171633,2.1086129841448145
1.4701148228858807,0.42268006526981705,8.19112911855904	9.882193201886633,2.2103880967782494,8.027716719152293
4.426228710483451,7.005832760786498,5.57895628842088	4.502559509229086,7.388328873966343,8.449976758255612
4.426228710483451,7.005832760786498,5.57895628842088	7.7714205694396306,7.155393758530523,9.903933975878974
4.426228710483451,7.005832760786498,5.57895628842088	3.939685095601101,5.028977491817708,7.355732920953054
4.426228710483451,7.005832760786498,5.57895628842088	9.649506454781177,4.988659237048148,1.0692631336095981
6.934381686856559,2.9790921032171633,2.1086129841448145	9.882193201886633,2.2103880967782494,8.027716719152293
6.934381686856559,2.9790921032171633,2.1086129841448145	8.645670603816983,2.0659800482004798,2.456410687893864
6.934381686856559,2.9790921032171633,2.1086129841448145	1.5110098742963907,1.9728899568311498,1.1394579823722095
6.934381686856559,2.9790921032171633,2.1086129841448145	4.2349333027084,1.9932405736075054,5.956319473572867
6.934381686856559,2.9790921032171633,2.1086129841448145	1.4701148228858807,0.42268006526981705,8.19112911855904
3.939685095601101,5.028977491817708,7.355732920953054	7.7714205694396306,7.155393758530523,9.903933975878974
3.939685095601101,5.028977491817708,7.355732920953054	4.426228710483451,7.005832760786498,5.57895628842088
9.913225635831777,4.2334966929298385,9.024107652770137	9.827289554247882,5.810014253509326,5.821583143357652
4.2349333027084,1.9932405736075054,5.956319473572867	6.934381686856559,2.9790921032171633,2.1086129841448145
7.7714205694396306,7.155393758530523,9.903933975878974	4.502559509229086,7.388328873966343,8.449976758255612
7.7714205694396306,7.155393758530523,9.903933975878974	4.426228710483451,7.005832760786498,5.57895628842088
7.7714205694396306,7.155393758530523,9.903933975878974	9.827289554247882,5.810014253509326,5.821583143357652
7.7714205694396306,7.155393758530523,9.903933975878974	3.939685095601101,5.028977491817708,7.355732920953054
4.502559509229086,7.388328873966343,8.449976758255612	7.7714205694396306,7.155393758530523,9.903933975878974
4.502559509229086,7.388328873966343,8.449976758255612	4.426228710483451,7.005832760786498,5.57895628842088
4.502559509229086,7.388328873966343,8.449976758255612	9.649506454781177,4.988659237048148,1.0692631336095981
1.5110098742963907,1.9728899568311498,1.1394579823722095	8.645670603816983,2.0659800482004798,2.456410687893864
1.5110098742963907,1.9728899568311498,1.1394579823722095	6.934381686856559,2.9790921032171633,2.1086129841448145
9.882193201886633,2.2103880967782494,8.027716719152293	6.934381686856559,2.9790921032171633,2.1086129841448145
9.882193201886633,2.2103880967782494,8.027716719152293	8.645670603816983,2.0659800482004798,2.456410687893864
9.882193201886633,2.2103880967782494,8.027716719152293	1.4701148228858807,0.42268006526981705,8.19112911855904
8.645670603816983,2.0659800482004798,2.456410687893864	6.934381686856559,2.9790921032171633,2.1086129841448145
8.645670603816983,2.0659800482004798,2.456410687893864	9.882193201886633,2.2103880967782494,8.027716719152293
8.645670603816983,2.0659800482004798,2.456410687893864	1.5110098742963907,1.9728899568311498,1.1394579823722095
9.827289554247882,5.810014253509326,5.821583143357652	7.7714205694396306,7.155393758530523,9.903933975878974
9.827289554247882,5.810014253509326,5.821583143357652	9.913225635831777,4.2334966929298385,9.024107652770137
9.649506454781177,4.988659237048148,1.0692631336095981	4.426228710483451,7.005832760786498,5.57895628842088
9.649506454781177,4.988659237048148,1.0692631336095981	4.502559509229086,7.388328873966343,8.449976758255612
